,PlayerW,PlayerB,EloW,EloB,ECO,Result,Year
466,Vachier Lagrave,Carlsen,2784,2862,C88,½-½,2021
467,Carlsen,Vachier Lagrave,2862,2784,D85,1-0,2021
468,Carlsen,Vachier Lagrave,2862,2784,A15,1-0,2021
469,Carlsen,Vachier Lagrave,2862,2784,D85,0-1,2021
470,Vachier Lagrave,Carlsen,2784,2862,B30,1-0,2021
471,Carlsen,Vachier Lagrave,2862,2784,D85,1-0,2021
472,Carlsen,Vachier Lagrave,2862,2784,D85,1-0,2021
473,Vachier Lagrave,Carlsen,2784,2862,C95,½-½,2021
474,Dubov,Carlsen,2710,2862,E16,1-0,2021
475,Dubov,Carlsen,2710,2862,E10,1-0,2021
476,Dubov,Carlsen,2710,2862,E10,½-½,2021
477,Carlsen,Dubov,2862,2710,C55,0-1,2021
478,Carlsen,Dubov,2862,2710,C55,1-0,2021
479,Carlsen,Dubov,2862,2710,B31,1-0,2021
480,Carlsen,Dubov,2862,2710,C55,1-0,2021
481,Carlsen,Dubov,2862,2710,B01,1-0,2021
482,Dubov,Carlsen,2710,2862,E10,½-½,2021
483,Carlsen,Radjabov,2862,2765,E58,½-½,2021
484,Carlsen,Vachier Lagrave,2862,2784,E60,½-½,2021
485,Dubov,Carlsen,2710,2862,D43,½-½,2021
486,Ding,Carlsen,2791,2862,E10,1-0,2021
487,Vidit,Carlsen,2726,2862,D30,0-1,2021
488,Carlsen,Nakamura,2862,2736,D37,1-0,2021
489,Carlsen,Giri,2862,2764,A13,½-½,2021
490,Carlsen,Duda,2862,2743,A18,½-½,2021
491,Grischuk,Carlsen,2777,2862,B30,½-½,2021
492,Nepomniachtchi,Carlsen,2789,2862,C78,½-½,2021
493,Carlsen,Shankland,2862,2691,A11,1-0,2021
494,Carlsen,Aronian,2862,2781,D38,1-0,2021
495,So,Carlsen,2770,2862,B52,1-0,2021
496,Dominguez Perez,Carlsen,2758,2862,B75,0-1,2021
497,Bluebaum,Carlsen,2670,2862,D05,0-1,2021
498,Carlsen,Vachier Lagrave,2862,2784,D85,1-0,2021
499,Wojtaszek,Carlsen,2705,2862,D45,½-½,2021
500,Carlsen,Giri,2862,2764,C53,½-½,2021
501,Caruana,Carlsen,2823,2862,E00,½-½,2021
502,Carlsen,Grandelius,2862,2663,B90,1-0,2021
503,Esipenko,Carlsen,2677,2862,B84,1-0,2021
504,Carlsen,Harikrishna,2862,2732,B47,½-½,2021
505,Duda,Carlsen,2743,2862,C50,½-½,2021
506,Carlsen,Donchenko,2862,2668,B90,½-½,2021
507,Van Foreest,Carlsen,2671,2862,C78,½-½,2021
508,Carlsen,Tari,2862,2625,D41,½-½,2021
509,Anton Guijarro,Carlsen,2679,2862,B34,½-½,2021
510,Carlsen,Firouzja,2862,2749,D37,1-0,2021
511,Carlsen,Dubov,2862,2702,C48,½-½,2020
512,Dubov,Carlsen,2702,2862,E10,1-0,2020
513,Dubov,Carlsen,2702,2862,E10,1-0,2020
514,Dubov,Carlsen,2702,2862,E04,½-½,2020
515,Dubov,Carlsen,2702,2862,E10,½-½,2020
516,Carlsen,Dubov,2862,2702,A15,0-1,2020
517,Carlsen,Dubov,2862,2702,C77,1-0,2020
518,Nepomniachtchi,Carlsen,2784,2862,B33,½-½,2020
519,Carlsen,Nakamura,2862,2736,C67,1-0,2020
520,Grischuk,Carlsen,2777,2862,D38,½-½,2020
521,Carlsen,Vachier Lagrave,2862,2784,A15,½-½,2020
522,Carlsen,Dubov,2862,2702,B31,1-0,2020
523,Carlsen,Giri,2862,2764,D94,½-½,2020
524,Anton Guijarro,Carlsen,2675,2862,E46,½-½,2020
525,So,Carlsen,2770,2862,E92,½-½,2020
526,Harikrishna,Carlsen,2732,2862,B33,½-½,2020
527,Carlsen,Radjabov,2862,2765,D37,½-½,2020
528,Carlsen,Aronian,2862,2781,D38,½-½,2020
529,So,Carlsen,2770,2862,C02,½-½,2020
530,So,Carlsen,2770,2862,B12,1-0,2020
531,Carlsen,So,2862,2770,D40,½-½,2020
532,So,Carlsen,2770,2862,B12,0-1,2020
533,Carlsen,So,2862,2770,C67,½-½,2020
534,Carlsen,So,2862,2770,D41,0-1,2020
535,So,Carlsen,2770,2862,B33,1-0,2020
536,So,Carlsen,2770,2862,C50,1-0,2020
537,Carlsen,So,2862,2770,D41,1-0,2020
538,Carlsen,So,2862,2770,D38,1-0,2020
539,Carlsen,Nepomniachtchi,2862,2784,B22,1-0,2020
540,Carlsen,Nepomniachtchi,2862,2784,B51,½-½,2020
541,Nepomniachtchi,Carlsen,2784,2862,C84,1-0,2020
542,Nepomniachtchi,Carlsen,2784,2862,C84,½-½,2020
543,Carlsen,Nepomniachtchi,2862,2784,D85,½-½,2020
544,Carlsen,Nepomniachtchi,2862,2784,D85,1-0,2020
545,Nepomniachtchi,Carlsen,2784,2862,C67,½-½,2020
546,Nepomniachtchi,Carlsen,2784,2862,B35,½-½,2020
547,Giri,Carlsen,2764,2862,C53,½-½,2020
548,Carlsen,Giri,2862,2764,B22,½-½,2020
549,Giri,Carlsen,2764,2862,C67,½-½,2020
550,Carlsen,Giri,2862,2764,E60,½-½,2020
551,Carlsen,Giri,2862,2764,D38,½-½,2020
552,Carlsen,Giri,2862,2764,C47,½-½,2020
553,Giri,Carlsen,2764,2862,C50,0-1,2020
554,Giri,Carlsen,2764,2862,B31,½-½,2020
555,Carlsen,Svidler,2862,2723,B53,½-½,2020
556,Carlsen,Vidit,2862,2726,C50,1-0,2020
557,Carlsen,Nakamura,2862,2736,C24,½-½,2020
558,So,Carlsen,2770,2862,E36,½-½,2020
559,Le,Carlsen,2709,2862,D45,½-½,2020
560,Carlsen,Giri,2862,2764,B53,½-½,2020
561,Carlsen,Duda,2862,2743,D11,1-0,2020
562,Karjakin,Carlsen,2752,2862,C41,1-0,2020
563,Aronian,Carlsen,2781,2862,D37,½-½,2020
564,Ding,Carlsen,2791,2862,D37,½-½,2020
565,Carlsen,Radjabov,2862,2765,D38,1-0,2020
566,Carlsen,Firouzja,2862,2749,D35,1-0,2020
567,Anton Guijarro,Carlsen,2675,2862,D45,0-1,2020
568,Vachier Lagrave,Carlsen,2784,2862,C67,½-½,2020
569,Nepomniachtchi,Carlsen,2784,2862,C60,1-0,2020
570,Carlsen,Ramirez Garrastacho,2862,2135,B30,1-0,2020
571,Carlsen,Aronian,2863,2767,D37,0-1,2020
572,Firouzja,Carlsen,2728,2863,A05,0-1,2020
573,Carlsen,Tari,2863,2633,C84,1-0,2020
574,Caruana,Carlsen,2828,2863,C67,0-1,2020
575,Caruana,Carlsen,2828,2863,B31,½-½,2020
576,Carlsen,Duda,2863,2757,D10,1-0,2020
577,Duda,Carlsen,2757,2863,B15,1-0,2020
578,Carlsen,Caruana,2863,2828,E32,1-0,2020
579,Tari,Carlsen,2633,2863,B69,0-1,2020
580,Carlsen,Firouzja,2863,2728,D35,½-½,2020
581,Carlsen,Firouzja,2863,2728,D35,1-0,2020
582,Aronian,Carlsen,2767,2863,E51,½-½,2020
583,Aronian,Carlsen,2767,2863,D37,0-1,2020
584,Carlsen,Harikrishna,2863,2732,C02,1-0,2020
585,Carlsen,So,2863,2770,D37,1-0,2020
586,Carlsen,Nepomniachtchi,2863,2784,A22,½-½,2020
587,Nakamura,Carlsen,2736,2863,B42,1-0,2020
588,Carlsen,Firouzja,2863,2728,B13,½-½,2020
589,Dominguez Perez,Carlsen,2758,2863,C60,½-½,2020
590,Aronian,Carlsen,2773,2863,C53,½-½,2020
591,Xiong,Carlsen,2709,2863,A01,0-1,2020
592,Grischuk,Carlsen,2777,2863,C67,½-½,2020
593,Carlsen,Dominguez Perez,2863,2758,D02,1-0,2020
594,Carlsen,Aronian,2863,2773,A22,1-0,2020
595,Carlsen,Nakamura,2863,2736,A22,1-0,2020
596,Carlsen,Xiong,2863,2709,B46,1-0,2020
597,Carlsen,Grischuk,2863,2777,D38,1-0,2020
598,Harikrishna,Carlsen,2732,2863,B50,1-0,2020
599,Nepomniachtchi,Carlsen,2784,2863,A01,1-0,2020
600,Firouzja,Carlsen,2728,2863,C65,0-1,2020
601,So,Carlsen,2770,2863,C78,½-½,2020
602,Grischuk,Carlsen,2777,2863,B75,1-0,2020
603,Carlsen,Xiong,2863,2709,C19,½-½,2020
604,Firouzja,Carlsen,2728,2863,E20,0-1,2020
605,Carlsen,Aronian,2863,2773,D97,1-0,2020
606,Carlsen,Harikrishna,2863,2732,B12,1-0,2020
607,Dominguez Perez,Carlsen,2758,2863,C41,0-1,2020
608,Carlsen,Nepomniachtchi,2863,2784,A20,0-1,2020
609,Nakamura,Carlsen,2736,2863,B12,0-1,2020
610,So,Carlsen,2770,2863,B51,½-½,2020
611,Carlsen,Nakamura,2863,2736,A28,1-0,2020
612,Nakamura,Carlsen,2736,2863,C65,1-0,2020
613,Carlsen,Nakamura,2863,2736,A20,½-½,2020
614,Nakamura,Carlsen,2736,2863,C65,0-1,2020
615,Nakamura,Carlsen,2736,2863,C65,1-0,2020
616,Nakamura,Carlsen,2736,2863,C65,½-½,2020
617,Carlsen,Nakamura,2863,2736,B31,½-½,2020
618,Nakamura,Carlsen,2736,2863,C65,0-1,2020
619,Nakamura,Carlsen,2736,2863,C65,½-½,2020
620,Carlsen,Nakamura,2863,2736,E47,1-0,2020
621,Carlsen,Nakamura,2863,2736,C67,½-½,2020
622,Carlsen,Nakamura,2863,2736,C50,½-½,2020
623,Nakamura,Carlsen,2736,2863,C67,½-½,2020
624,Nakamura,Carlsen,2736,2863,B03,0-1,2020
625,Carlsen,Nakamura,2863,2736,D02,½-½,2020
626,Carlsen,Nakamura,2863,2736,E94,0-1,2020
627,Carlsen,Nakamura,2863,2736,E29,0-1,2020
628,Nakamura,Carlsen,2736,2863,C67,½-½,2020
629,Nakamura,Carlsen,2736,2863,C65,½-½,2020
630,Carlsen,Nakamura,2863,2736,A20,½-½,2020
631,Carlsen,Nakamura,2863,2736,C50,1-0,2020
632,Nakamura,Carlsen,2736,2863,C65,½-½,2020
633,Nakamura,Carlsen,2736,2863,C65,1-0,2020
634,Nakamura,Carlsen,2736,2863,C65,0-1,2020
635,Carlsen,Nakamura,2863,2736,A20,½-½,2020
636,Carlsen,Nakamura,2863,2736,D02,½-½,2020
637,Carlsen,Nakamura,2863,2736,C67,½-½,2020
638,Nakamura,Carlsen,2736,2863,C65,1-0,2020
639,Nakamura,Carlsen,2736,2863,C65,0-1,2020
640,Carlsen,Nakamura,2863,2736,A20,1-0,2020
641,Nakamura,Carlsen,2736,2863,C67,½-½,2020
642,Nakamura,Carlsen,2736,2863,C67,½-½,2020
643,Carlsen,Nakamura,2863,2736,D30,½-½,2020
644,Carlsen,Nakamura,2863,2736,D37,0-1,2020
645,Nakamura,Carlsen,2736,2863,B90,½-½,2020
646,Carlsen,Nakamura,2863,2736,D37,0-1,2020
647,Carlsen,Nakamura,2863,2736,A28,½-½,2020
648,Nakamura,Carlsen,2736,2863,B90,½-½,2020
649,Ding,Carlsen,2791,2863,E60,½-½,2020
650,Carlsen,Ding,2863,2791,D43,1-0,2020
651,Carlsen,Ding,2863,2791,D02,½-½,2020
652,Carlsen,Ding,2863,2791,D37,½-½,2020
653,Ding,Carlsen,2791,2863,E62,1-0,2020
654,Ding,Carlsen,2791,2863,E01,0-1,2020
655,Ding,Carlsen,2791,2863,E62,½-½,2020
656,Carlsen,Ding,2863,2791,B90,1-0,2020
657,Ding,Carlsen,2791,2863,B90,0-1,2020
658,Ding,Carlsen,2791,2863,C50,0-1,2020
659,Carlsen,Ding,2863,2791,D41,1-0,2020
660,Carlsen,Ding,2863,2791,E91,½-½,2020
661,Ding,Carlsen,2791,2863,B13,½-½,2020
662,Ding,Carlsen,2791,2863,B13,1-0,2020
663,Carlsen,Ding,2863,2791,A48,½-½,2020
664,Carlsen,Ding,2863,2791,C67,½-½,2020
665,Carlsen,Ding,2863,2791,D02,1-0,2020
666,Ding,Carlsen,2791,2863,B90,1-0,2020
667,Carlsen,Ding,2863,2791,D02,1-0,2020
668,Svidler,Carlsen,2723,2863,A15,0-1,2020
669,Carlsen,Svidler,2863,2723,B90,½-½,2020
670,Svidler,Carlsen,2723,2863,A22,0-1,2020
671,Kramnik,Carlsen,2753,2863,B92,½-½,2020
672,Kramnik,Carlsen,2753,2863,B87,0-1,2020
673,Carlsen,Kramnik,2863,2753,D35,1-0,2020
674,Carlsen,Kramnik,2863,2753,C50,½-½,2020
675,Nepomniachtchi,Carlsen,2784,2863,A15,½-½,2020
676,Nepomniachtchi,Carlsen,2784,2863,A13,½-½,2020
677,Carlsen,Nepomniachtchi,2863,2784,A41,0-1,2020
678,Nepomniachtchi,Carlsen,2784,2863,A20,½-½,2020
679,Carlsen,Nepomniachtchi,2863,2784,D85,1-0,2020
680,Carlsen,Svidler,2863,2723,C90,½-½,2020
681,Svidler,Carlsen,2723,2863,A22,½-½,2020
682,Carlsen,Svidler,2863,2723,A48,1-0,2020
683,Svidler,Carlsen,2723,2863,A20,½-½,2020
684,Carlsen,Ding,2863,2791,B51,½-½,2020
685,Ding,Carlsen,2791,2863,D78,½-½,2020
686,Ding,Carlsen,2791,2863,A05,½-½,2020
687,Carlsen,Ding,2863,2791,D43,1-0,2020
688,Carlsen,Ivanchuk,2863,2678,E11,0-1,2020
689,Ivanchuk,Carlsen,2678,2863,D37,½-½,2020
690,Carlsen,Ivanchuk,2863,2678,E11,1-0,2020
691,Ivanchuk,Carlsen,2678,2863,D37,½-½,2020
692,Ivanchuk,Carlsen,2678,2863,E00,0-1,2020
693,Carlsen,Gelfand,2863,2676,B33,1-0,2020
694,Carlsen,Gelfand,2863,2676,B32,1-0,2020
695,Gelfand,Carlsen,2676,2863,D87,0-1,2020
696,Carlsen,Leko,2863,2663,D42,½-½,2020
697,Leko,Carlsen,2663,2863,E66,½-½,2020
698,Carlsen,Leko,2863,2663,A35,1-0,2020
699,Leko,Carlsen,2663,2863,D45,½-½,2020
700,Anand,Carlsen,2753,2863,C65,0-1,2020
701,Carlsen,Anand,2863,2753,E26,½-½,2020
702,Carlsen,Anand,2863,2753,D38,½-½,2020
703,Anand,Carlsen,2753,2863,C64,½-½,2020
704,Carlsen,Giri,2863,2764,E68,1-0,2020
705,Carlsen,Giri,2863,2764,D38,1-0,2020
706,Giri,Carlsen,2764,2863,D37,½-½,2020
707,Giri,Carlsen,2764,2863,D43,½-½,2020
708,Carlsen,Nepomniachtchi,2863,2784,A48,1-0,2020
709,Nepomniachtchi,Carlsen,2784,2863,B90,0-1,2020
710,Carlsen,Nepomniachtchi,2863,2784,A41,½-½,2020
711,Carlsen,Nepomniachtchi,2863,2784,D79,½-½,2020
712,Carlsen,Nepomniachtchi,2863,2784,D85,½-½,2020
713,Carlsen,Nepomniachtchi,2863,2784,B06,1-0,2020
714,Nepomniachtchi,Carlsen,2784,2863,B90,0-1,2020
715,Nepomniachtchi,Carlsen,2784,2863,B90,1-0,2020
716,Nepomniachtchi,Carlsen,2784,2863,B90,0-1,2020
717,Svidler,Carlsen,2723,2863,A07,0-1,2020
718,Carlsen,Svidler,2863,2723,B90,1-0,2020
719,Carlsen,Svidler,2863,2723,B51,½-½,2020
720,Carlsen,Ding,2863,2791,D85,½-½,2020
721,Carlsen,Ding,2863,2791,D38,1-0,2020
722,Carlsen,Ding,2863,2791,D38,½-½,2020
723,Ding,Carlsen,2791,2863,A20,0-1,2020
724,Ding,Carlsen,2791,2863,A13,1-0,2020
725,Ding,Carlsen,2791,2863,E94,½-½,2020
726,Caruana,Carlsen,2835,2863,E46,½-½,2020
727,Carlsen,Caruana,2863,2835,E10,1-0,2020
728,Caruana,Carlsen,2835,2863,E25,0-1,2020
729,Caruana,Carlsen,2835,2863,C53,0-1,2020
730,Carlsen,Caruana,2863,2835,D37,1-0,2020
731,Carlsen,Caruana,2863,2835,B51,½-½,2020
732,Grischuk,Carlsen,2777,2863,B30,½-½,2020
733,Carlsen,Artemiev,2863,2716,A15,½-½,2020
734,Carlsen,Harikrishna,2863,2719,A48,½-½,2020
735,Carlsen,Nakamura,2863,2736,D37,1-0,2020
736,Dubov,Carlsen,2699,2863,D43,0-1,2020
737,Harikrishna,Carlsen,2719,2863,B33,0-1,2020
738,Artemiev,Carlsen,2716,2863,A06,½-½,2020
739,Carlsen,Dubov,2863,2699,A46,0-1,2020
740,Carlsen,Grischuk,2863,2777,E21,½-½,2020
741,Nakamura,Carlsen,2736,2863,B30,½-½,2020
742,Carlsen,Caruana,2863,2835,A22,1-0,2020
743,Caruana,Carlsen,2835,2863,B30,1-0,2020
744,Carlsen,Caruana,2863,2835,D37,½-½,2020
745,Caruana,Carlsen,2835,2863,B30,1-0,2020
746,Carlsen,Caruana,2863,2835,C42,1-0,2020
747,Caruana,Carlsen,2835,2863,B30,0-1,2020
748,Carlsen,Caruana,2863,2835,A45,1-0,2020
749,Carlsen,Caruana,2863,2835,A22,½-½,2020
750,Carlsen,Caruana,2863,2835,C42,1-0,2020
751,Caruana,Carlsen,2835,2863,B30,1-0,2020
752,Caruana,Carlsen,2835,2863,B30,1-0,2020
753,Caruana,Carlsen,2835,2863,C65,½-½,2020
754,Carlsen,Aronian,2863,2773,A22,1-0,2020
755,Carlsen,Aronian,2863,2773,C67,½-½,2020
756,Carlsen,Aronian,2863,2773,A07,½-½,2020
757,Aronian,Carlsen,2773,2863,B00,0-1,2020
758,Aronian,Carlsen,2773,2863,B30,½-½,2020
759,Aronian,Carlsen,2773,2863,B30,½-½,2020
760,Carlsen,Aronian,2863,2773,A22,½-½,2020
761,Carlsen,Aronian,2863,2773,A22,1-0,2020
762,Aronian,Carlsen,2773,2863,B30,½-½,2020
763,Carlsen,Aronian,2863,2773,A07,1-0,2020
764,Aronian,Carlsen,2773,2863,B03,0-1,2020
765,Aronian,Carlsen,2773,2863,B30,½-½,2020
766,Carlsen,Xiong,2863,2709,C00,½-½,2020
767,Xiong,Carlsen,2709,2863,B90,0-1,2020
768,Xiong,Carlsen,2709,2863,C45,1-0,2020
769,Carlsen,Xiong,2863,2709,A45,1-0,2020
770,Xiong,Carlsen,2709,2863,B33,½-½,2020
771,Carlsen,Xiong,2863,2709,B40,1-0,2020
772,Carlsen,Xiong,2863,2709,B41,0-1,2020
773,Xiong,Carlsen,2709,2863,D31,0-1,2020
774,Carlsen,Xiong,2863,2709,B14,1-0,2020
775,Xiong,Carlsen,2709,2863,B30,½-½,2020
776,Xiong,Carlsen,2709,2863,D31,½-½,2020
777,Carlsen,Xiong,2863,2709,B52,1-0,2020
778,Carlsen,Giri,2863,2764,A28,½-½,2020
779,Carlsen,Giri,2863,2764,D41,1-0,2020
780,Giri,Carlsen,2764,2863,D85,½-½,2020
781,Giri,Carlsen,2764,2863,D52,½-½,2020
782,Giri,Carlsen,2764,2863,D30,½-½,2020
783,Giri,Carlsen,2764,2863,D45,½-½,2020
784,Giri,Carlsen,2764,2863,D45,½-½,2020
785,Carlsen,Giri,2863,2764,C65,1-0,2020
786,Carlsen,Giri,2863,2764,B51,0-1,2020
787,Carlsen,Giri,2863,2764,E26,1-0,2020
788,Ding,Carlsen,2791,2863,A20,0-1,2020
789,Ding,Carlsen,2791,2863,E90,0-1,2020
790,Carlsen,Ding,2863,2791,D38,½-½,2020
791,Carlsen,Nakamura,2863,2736,D37,0-1,2020
792,Carlsen,Nakamura,2863,2736,D37,1-0,2020
793,Carlsen,Nakamura,2863,2736,C47,½-½,2020
794,Nakamura,Carlsen,2736,2863,C88,½-½,2020
795,Nakamura,Carlsen,2736,2863,C81,1-0,2020
796,Nakamura,Carlsen,2736,2863,C67,½-½,2020
797,Nakamura,Carlsen,2736,2863,C65,1-0,2020
798,Carlsen,Nakamura,2863,2736,C53,½-½,2020
799,Carlsen,Nakamura,2863,2736,C45,½-½,2020
800,Nakamura,Carlsen,2736,2863,C65,0-1,2020
801,Carlsen,Nakamura,2863,2736,C45,1-0,2020
802,Carlsen,Nakamura,2863,2736,B06,1-0,2020
803,So,Carlsen,2770,2863,C65,0-1,2020
804,So,Carlsen,2770,2863,E04,0-1,2020
805,Carlsen,So,2863,2770,C67,½-½,2020
806,So,Carlsen,2770,2863,C65,0-1,2020
807,Carlsen,So,2863,2770,B13,½-½,2020
808,Carlsen,So,2863,2770,E21,1-0,2020
809,Firouzja,Carlsen,2728,2863,A07,0-1,2020
810,Karjakin,Carlsen,2752,2863,B81,½-½,2020
811,Carlsen,Dubov,2863,2699,C41,0-1,2020
812,Carlsen,So,2863,2770,D86,½-½,2020
813,Carlsen,Wei,2863,2732,B51,1-0,2020
814,Yu,Carlsen,2709,2863,D45,1-0,2020
815,Duda,Carlsen,2753,2863,A28,1-0,2020
816,Carlsen,Nakamura,2863,2736,D37,½-½,2020
817,Ding,Carlsen,2791,2863,E01,½-½,2020
818,Carlsen,Grischuk,2863,2777,C65,1-0,2020
819,Carlsen,Aronian,2863,2773,C42,1-0,2020
820,Xiong,Carlsen,2709,2863,A40,½-½,2020
821,Carlsen,Dubov,2863,2699,C41,½-½,2020
822,Anton Guijarro,Carlsen,2703,2863,A06,½-½,2020
823,Carlsen,Grischuk,2863,2777,B51,1-0,2020
824,Carlsen,Korobov,2863,2688,E90,1-0,2020
825,Bu,Carlsen,2705,2863,D45,0-1,2020
826,Carlsen,Bu,2863,2705,C42,1-0,2020
827,Mamedyarov,Carlsen,2764,2863,D11,½-½,2020
828,Carlsen,Xiong,2863,2709,D02,1-0,2020
829,Carlsen,Le,2863,2709,C46,1-0,2020
830,Svidler,Carlsen,2723,2863,C65,1-0,2020
831,Dubov,Carlsen,2699,2863,E90,1-0,2020
832,Carlsen,Anton Guijarro,2863,2703,C77,1-0,2020
833,Carlsen,Mamedyarov,2863,2764,D00,1-0,2020
834,Carlsen,Svidler,2863,2723,A22,½-½,2020
835,Korobov,Carlsen,2688,2863,D37,1-0,2020
836,Grischuk,Carlsen,2777,2863,D37,½-½,2020
837,Le,Carlsen,2709,2863,D02,0-1,2020
838,Carlsen,Nakamura,2863,2736,A29,1-0,2020
839,Carlsen,Nakamura,2863,2736,D37,1-0,2020
840,Nakamura,Carlsen,2736,2863,D37,1-0,2020
841,Nakamura,Carlsen,2736,2863,D52,½-½,2020
842,Carlsen,Ding,2863,2791,D02,1-0,2020
843,Ding,Carlsen,2791,2863,C50,1-0,2020
844,Ding,Carlsen,2791,2863,D45,0-1,2020
845,Carlsen,Ding,2863,2791,D02,½-½,2020
846,Carlsen,Ding,2863,2791,C34,0-1,2020
847,Carlsen,Ding,2863,2791,B21,1-0,2020
848,Ding,Carlsen,2791,2863,B00,1-0,2020
849,Ding,Carlsen,2791,2863,B30,1-0,2020
850,Carlsen,Nepomniachtchi,2863,2784,A48,1-0,2020
851,Carlsen,Nepomniachtchi,2863,2784,A45,1-0,2020
852,Nepomniachtchi,Carlsen,2784,2863,B00,½-½,2020
853,Nepomniachtchi,Carlsen,2784,2863,B30,½-½,2020
854,Carlsen,Nepomniachtchi,2863,2784,B54,0-1,2020
855,Carlsen,Giri,2863,2764,B95,½-½,2020
856,Giri,Carlsen,2764,2863,E04,½-½,2020
857,Carlsen,Giri,2863,2764,D38,0-1,2020
858,Giri,Carlsen,2764,2863,D87,½-½,2020
859,Carlsen,Vachier Lagrave,2863,2778,B54,½-½,2020
860,Vachier Lagrave,Carlsen,2778,2863,E60,½-½,2020
861,Vachier Lagrave,Carlsen,2778,2863,D11,½-½,2020
862,Carlsen,Vachier Lagrave,2863,2778,D10,1-0,2020
863,Carlsen,Caruana,2863,2835,C46,½-½,2020
864,Carlsen,Caruana,2863,2835,D37,1-0,2020
865,Caruana,Carlsen,2835,2863,C78,½-½,2020
866,Caruana,Carlsen,2835,2863,B03,0-1,2020
867,Carlsen,Firouzja,2863,2728,D38,1-0,2020
868,Firouzja,Carlsen,2728,2863,C65,½-½,2020
869,Firouzja,Carlsen,2728,2863,B30,1-0,2020
870,Carlsen,Firouzja,2863,2728,D38,1-0,2020
871,Nakamura,Carlsen,2736,2863,B80,0-1,2020
872,Carlsen,Nakamura,2863,2736,D37,1-0,2020
873,Carlsen,Nakamura,2863,2736,D37,1-0,2020
874,Nakamura,Carlsen,2736,2863,C78,1-0,2020
875,Nakamura,Carlsen,2736,2863,B82,1-0,2020
876,So,Carlsen,2765,2872,C47,½-½,2020
877,Carlsen,Artemiev,2872,2731,D85,½-½,2020
878,Duda,Carlsen,2758,2872,C53,½-½,2020
879,Carlsen,Kovalev,2872,2660,D55,1-0,2020
880,Firouzja,Carlsen,2723,2872,C65,0-1,2020
881,Carlsen,Vitiugov,2872,2747,C84,1-0,2020
882,Anand,Carlsen,2758,2872,B31,½-½,2020
883,Carlsen,Caruana,2872,2822,D37,½-½,2020
884,Carlsen,Dubov,2872,2683,B31,½-½,2020
885,Van Foreest,Carlsen,2644,2872,C58,½-½,2020
886,Carlsen,Xiong,2872,2712,D41,½-½,2020
887,Yu,Carlsen,2726,2872,B90,½-½,2020
888,Carlsen,Giri,2872,2768,A22,½-½,2020
889,Carlsen,Dubov,2872,2690,D33,1-0,2019
890,Carlsen,Nepomniachtchi,2872,2767,D87,½-½,2019
891,Carlsen,Nakamura,2872,2736,D02,1-0,2019
892,Carlsen,Grischuk,2872,2777,E97,½-½,2019
893,Carlsen,Kramnik,2872,2753,D02,1-0,2019
894,Firouzja,Carlsen,2723,2872,C72,0-1,2019
895,Matlakov,Carlsen,2699,2872,D52,0-1,2019
896,Nakamura,Carlsen,2736,2872,C65,½-½,2019
897,Yu,Carlsen,2738,2872,B33,½-½,2019
898,Duda,Carlsen,2758,2872,B33,½-½,2019
899,Vachier Lagrave,Carlsen,2780,2872,B01,½-½,2019
900,Carlsen,Artemiev,2872,2731,D86,1-0,2019
901,Wojtaszek,Carlsen,2725,2872,D41,0-1,2019
902,Carlsen,Socko,2872,2618,E15,1-0,2019
903,Salem,Carlsen,2675,2872,D35,0-1,2019
904,Carlsen,Jakovenko,2872,2698,A36,1-0,2019
905,Carlsen,Belov,2872,2598,B13,1-0,2019
906,Carlsen,Abdusattorov,2872,2635,A46,½-½,2019
907,Carlsen,Mamedyarov,2872,2772,D37,1-0,2019
908,Predke,Carlsen,2676,2872,B06,0-1,2019
909,Andreikin,Carlsen,2724,2872,D38,1-0,2019
910,Nakamura,Carlsen,2736,2872,C78,½-½,2019
911,Jobava,Carlsen,2604,2872,A01,0-1,2019
912,Carlsen,Dominguez Perez,2872,2758,D40,½-½,2019
913,Carlsen,Mamedyarov,2872,2772,D37,1-0,2019
914,Vachier Lagrave,Carlsen,2780,2872,B33,½-½,2019
915,Nakamura,Carlsen,2736,2872,B31,½-½,2019
916,Aronian,Carlsen,2775,2872,D33,0-1,2019
917,Carlsen,Laznicka,2872,2648,D02,1-0,2019
918,Carlsen,Le,2872,2713,D20,1-0,2019
919,Zubov,Carlsen,2601,2872,D02,0-1,2019
920,Carlsen,Wang,2872,2756,D02,½-½,2019
921,Rakhmanov,Carlsen,2645,2872,A20,½-½,2019
922,Mamedov,Carlsen,2659,2872,B01,½-½,2019
923,Carlsen,Savchenko,2872,2577,D02,1-0,2019
924,Carlsen,Utegaliyev,2872,2502,B01,1-0,2019
925,Melkumyan,Carlsen,2668,2872,D33,½-½,2019
926,Carlsen,Shimanov,2872,2587,B13,1-0,2019
927,Aronian,Carlsen,2775,2872,A09,1-0,2019
928,Carlsen,Aronian,2872,2775,C44,0-1,2019
929,Carlsen,Aronian,2872,2775,B90,1-0,2019
930,Aronian,Carlsen,2775,2872,A06,½-½,2019
931,Aronian,Carlsen,2775,2872,C16,½-½,2019
932,Carlsen,Aronian,2872,2775,D02,1-0,2019
933,Aronian,Carlsen,2775,2872,E60,½-½,2019
934,Carlsen,Aronian,2872,2775,D02,1-0,2019
935,Carlsen,Vachier Lagrave,2872,2780,D87,½-½,2019
